State,Population,Annual,Per10K,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Auto
Alabama,4858979,22952,47,276,2005,4701,13745,154094,39715,104238,10141
Alaska,738432,5392,73,41,771,629,3243,20334,3150,15445,1739
Arizona,6828065,28012,41,319,3378,6249,16970,215240,43562,154091,17587
Arkansas,2978204,15526,52,165,1763,2050,10265,99018,24790,68627,5601
California,39144818,166883,43,1699,11527,48680,91803,947192,202670,592670,151852
Colorado,5456574,17515,32,151,3039,3039,10325,135510,23472,99464,12574
Connecticut,3590886,7845,22,86,782,3159,4495,69070,11955,51005,6110
Delaware,945934,4720,50,54,386,1269,2867,27900,5768,20865,1267
Florida,20271272,93626,46,1149,8563,24914,72895,679446,143220,493647,42579
Georgia,10214860,38643,38,580,3048,12417,22052,331316,76428,228034,26854
Hawaii,1431603,4201,30,26,445,1107,2102,43297,7778,31640,3879
Idaho,1654930,3568,22,32,609,204,2623,30316,6428,22227,1661
Illinois,12859995,49354,38,685,4159,15299,27520,267385,50008,199926,17451
Indiana,6619680,25653,39,330,2186,6897,14686,174776,36893,124022,13861
Iowa,3123899,8936,29,60,1128,1045,6264,65056,14428,46477,4151
Kansas,2911641,11353,39,91,1411,1362,7259,79431,15828,56697,6906
Kentucky,4425092,9676,22,160,1440,3336,4404,99166,23244,69604,6318
Louisiana,4670724,25208,54,477,1375,5695,16387,160824,38337,112596,9891
Maine,1329328,1729,13,21,485,304,890,26421,5030,20592,799
Maryland,6006401,27462,46,365,1619,9544,15133,149859,28012,108745,13102
Massachusetts,6794422,26562,39,132,2180,6036,18051,125267,24964,92043,8260
Michigan,9922576,41231,42,535,6273,8021,27519,202547,44184,137206,21157
Minnesota,5457173,12505,23,88,2001,1452,3687,6729,125377,20773,96237
Mississippi,2992333,8254,28,258,1058,2430,4592,87462,24352,58591,4519
Missouri,6083672,30261,50,403,2379,5592,18482,176237,35258,124622,16357
Montana,1032949,3611,35,37,541,203,2532,25312,3595,19674,2043
Nebraska,1896190,5212,27,54,862,1043,3316,47479,7950,35074,4455
Nevada,2890845,20118,70,170,1357,5954,10564,74538,21927,42426,10185
New Hampshire,1330608,2652,20,12,594,537,1459,26041,4162,21022,857
New Jersey,8958013,22879,26,349,1274,10498,11225,154993,31710,111578,11705
New Mexico,2085109,13681,66,101,1475,2086,8797,73877,18505,49082,6290
New York,19795791,75165,38,617,5433,24045,45303,339282,50781,272765,15736
North Carolina,10042802,34852,35,510,2420,8416,21421,285697,79373,192694,13630
North Dakota,756927,1812,24,22,358,173,1407,15605,2707,11384,1514
Ohio,11613423,33898,30,464,5042,12753,14771,324528,78845,227668,18015
Oklahoma,4028977,10468,42,175,1777,3048,10744,115982,29508,75891,10583
Oregon,4093465,12475,26,81,1458,2093,5592,114305,17230,87526,9549
Pennsylvania,12802503,40339,32,614,3827,13534,22189,247016,45720,188256,13040
Rhode Island,1056298,2562,24,25,361,529,1398,22935,4823,16279,1833
South Carolina,4896146,24700,51,311,2068,3997,17676,167217,36721,117594,12902
South Dakota,858469,3289,38,20,470,200,2096,15902,2818,12077,1007
Tennessee,6600299,40400,61,371,2531,7265,29681,200447,46642,141206,12599
Texas,27469114,113227,41,1184,11393,31181,65656,813934,169234,576154,68546
Utah,2995919,7071,24,67,1454,1312,3513,84711,11518,65895,7298
Vermont,626042,739,12,10,110,70,432,9551,2034,7273,244
Virginia,8382993,16399,20,338,2310,4292,9400,160720,23122,129933,7665
Washington,7170351,20394,28,174,2695,5640,11627,261706,55290,175769,30647
West Virginia,1844128,6231,34,74,505,651,4358,37648,8973,26779,1896
Wisconsin,5771337,17647,31,165,1674,5066,9809,120238,21216,89103,9919
Wyoming,586107,1302,22,16,174,53,899,11477,1689,9185,603